         193658 function calls (189629 primitive calls) in 0.683 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       56    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
       79    0.000    0.000    0.000    0.000 element.py:1570(__eq__)
        2    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 socket.py:302(makefile)
        1    0.000    0.000    0.001    0.001 client.py:224(parse_headers)
        2    0.000    0.000    0.002    0.001 _collections.py:92(clear)
        4    0.000    0.000    0.000    0.000 url.py:274(_normalize_host)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        2    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        4    0.000    0.000    0.000    0.000 idna.py:147(encode)
        1    0.000    0.000    0.000    0.000 adapters.py:296(build_response)
        1    0.000    0.000    0.581    0.581 sessions.py:500(request)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       24    0.000    0.000    0.000    0.000 _policybase.py:311(header_fetch_parse)
        5    0.000    0.000    0.000    0.000 enum.py:980(__or__)
        1    0.000    0.000    0.000    0.000 connectionpool.py:169(__init__)
        1    0.000    0.000    0.000    0.000 feedparser.py:101(push)
       28    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        8    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        1    0.000    0.000    0.000    0.000 poolmanager.py:79(_default_key_normalizer)
        1    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1604(make_cookies)
        4    0.000    0.000    0.000    0.000 message.py:564(get_content_type)
        1    0.000    0.000    0.079    0.079 connectionpool.py:1034(_validate_conn)
       19    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        9    0.000    0.000    0.000    0.000 url.py:305(_idna_encode)
        1    0.000    0.000    0.001    0.001 parser.py:41(parse)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        2    0.000    0.000    0.000    0.000 client.py:417(close)
        1    0.000    0.000    0.002    0.002 sessions.py:457(prepare_request)
    40/10    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
        7    0.000    0.000    0.000    0.000 utils.py:335(to_key_val_list)
       18    0.000    0.000    0.000    0.000 message.py:479(set_raw)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
       27    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 client.py:1082(putrequest)
        4    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
       71    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.043    0.043 ssl_.py:355(ssl_wrap_socket)
       18    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
        9    0.000    0.000    0.000    0.000 url.py:306(<listcomp>)
        3    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       14    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
        8    0.000    0.000    0.000    0.000 parse.py:159(hostname)
       23    0.000    0.000    0.000    0.000 threading.py:264(__enter__)
        3    0.000    0.000    0.000    0.000 posixpath.py:228(expanduser)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1685(extract_cookies)
        2    0.000    0.000    0.000    0.000 ssl.py:727(verify_mode)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        3    0.000    0.000    0.000    0.000 cookies.py:35(__init__)
       12    0.000    0.000    0.000    0.000 re.py:269(escape)
        2    0.000    0.000    0.000    0.000 cookies.py:124(extract_cookies_to_jar)
        1    0.000    0.000    0.034    0.034 ssl.py:1334(do_handshake)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1266(__init__)
        1    0.000    0.000    0.001    0.001 utils.py:194(get_netrc_auth)
        1    0.000    0.000    0.000    0.000 ssl.py:1225(sendall)
        1    0.000    0.000    0.000    0.000 ipaddress.py:28(ip_address)
        3    0.000    0.000    0.000    0.000 cookies.py:521(cookiejar_from_dict)
        1    0.000    0.000    0.582    0.582 api.py:14(request)
        1    0.000    0.000    0.000    0.000 message.py:459(<listcomp>)
        3    0.000    0.000    0.000    0.000 threading.py:236(__init__)
       18    0.000    0.000    0.000    0.000 {method 'setdefault' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 ssl.py:561(set_alpn_protocols)
       22    0.000    0.000    0.000    0.000 threading.py:279(_is_owned)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1361(add_cookie_header)
        8    0.000    0.000    0.000    0.000 parse.py:201(_hostinfo)
        1    0.000    0.000    0.000    0.000 connection.py:231(request)
       67    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        5    0.000    0.000    0.000    0.000 connection.py:221(putheader)
        1    0.000    0.000    0.000    0.000 fnmatch.py:80(translate)
       19    0.000    0.000    0.000    0.000 _collections.py:187(__iter__)
        1    0.000    0.000    0.000    0.000 feedparser.py:53(__init__)
        6    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
       61    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 response.py:40(assert_header_parsing)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1227(vals_sorted_by_key)
       23    0.000    0.000    0.000    0.000 threading.py:267(__exit__)
        1    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        1    0.000    0.000    0.000    0.000 sessions.py:389(__init__)
        1    0.000    0.000    0.582    0.582 api.py:62(get)
        4    0.000    0.000    0.000    0.000 message.py:29(_splitparam)
        1    0.000    0.000    0.000    0.000 {built-in method zlib.decompressobj}
        4    0.000    0.000    0.000    0.000 cookiejar.py:885(__init__)
        3    0.000    0.000    0.000    0.000 url.py:244(_remove_path_dot_segments)
        6    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 models.py:410(prepare_url)
        2    0.000    0.000    0.000    0.000 request.py:2572(ip2num)
        8    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
        1    0.000    0.000    0.006    0.006 sessions.py:749(merge_environment_settings)
      2/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1022(_find_and_load)
        1    0.000    0.000    0.000    0.000 client.py:429(flush)
        2    0.000    0.000    0.000    0.000 message.py:120(__init__)
       18    0.000    0.000    0.000    0.000 six.py:1014(ensure_text)
        1    0.000    0.000    0.000    0.000 models.py:352(prepare)
        9    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 response.py:419(_flush_decoder)
       37    0.000    0.000    0.000    0.000 _collections_abc.py:409(__subclasshook__)
        8    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       23    0.000    0.000    0.000    0.000 queue.py:15(_qsize)
        3    0.000    0.000    0.112    0.037 models.py:887(content)
        2    0.000    0.000    0.000    0.000 adapters.py:136(__init__)
       16    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        1    0.000    0.000    0.000    0.000 __init__.py:457(reset)
        6    0.000    0.000    0.000    0.000 structures.py:57(__iter__)
        4    0.000    0.000    0.000    0.000 utils.py:1027(check_header_validity)
        2    0.000    0.000    0.000    0.000 retry.py:243(__init__)
       27    0.000    0.000    0.000    0.000 structures.py:58(<genexpr>)
        1    0.000    0.000    0.000    0.000 client.py:248(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:61(lookup)
       24    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        2    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
        1    0.000    0.000    0.000    0.000 models.py:484(prepare_headers)
        4    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
        1    0.000    0.000    0.000    0.000 _collections.py:141(__init__)
        1    0.000    0.000    0.000    0.000 ssl.py:1404(version)
        8    0.000    0.000    0.000    0.000 {method 'subn' of 're.Pattern' objects}
      2/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:664(_load_unlocked)
        1    0.000    0.000    0.000    0.000 response.py:80(__init__)
       12    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:1724(isEnabledFor)
        5    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        2    0.000    0.000    0.000    0.000 utils.py:831(select_proxy)
        1    0.000    0.000    0.005    0.005 utils.py:759(should_bypass_proxies)
        2    0.000    0.000    0.000    0.000 contextlib.py:102(__init__)
        8    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.000    0.000 client.py:837(__init__)
        1    0.000    0.000    0.000    0.000 client.py:967(send)
        4    0.000    0.000    0.000    0.000 timeout.py:102(__init__)
        1    0.000    0.000    0.000    0.000 poolmanager.py:225(connection_from_host)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.000    0.000 connectionpool.py:998(_new_conn)
        3    0.000    0.000    0.000    0.000 url.py:91(__new__)
        1    0.000    0.000    0.001    0.001 connection.py:531(_match_hostname)
        1    0.000    0.000    0.381    0.381 client.py:1330(getresponse)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 utils.py:508(_parse_content_type_header)
        1    0.000    0.000    0.000    0.000 {method 'rstrip' of 'bytes' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       11    0.000    0.000    0.000    0.000 queue.py:21(_get)
       23    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
       22    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.001    0.001 socket.py:938(getaddrinfo)
        2    0.000    0.000    0.000    0.000 poolmanager.py:171(__init__)
       29    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        2    0.000    0.000    0.000    0.000 feedparser.py:178(_call_parse)
        2    0.000    0.000    0.000    0.000 structures.py:76(copy)
       17    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        1    0.000    0.000    0.000    0.000 socket.py:768(close)
       20    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:832(items)
        1    0.000    0.000    0.000    0.000 socket.py:679(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        2    0.000    0.000    0.002    0.001 adapters.py:362(close)
